road,hour,day_of_week,is_weekend,weather,incidents,congestion_pct
Zərdabi,21,4,0,Yağışlı,0,42
Rəşid Behbudov,1,4,0,Qarlı,0,50
Rəşid Behbudov,4,2,0,Açıq,0,20
Babək,6,2,0,Yağışlı,1,45
Qara Qarayev,6,5,1,Yağışlı,0,31
Tbilisi,4,3,0,Dumanlı,0,40
Ziya Bünyadov,4,2,0,Açıq,0,36
Atatürk,9,5,1,Dumanlı,0,34
Ziya Bünyadov,1,2,0,Açıq,0,27
Heydər Əliyev,23,4,0,Dumanlı,0,28
Ziya Bünyadov,16,1,0,Dumanlı,3,100
Rəşid Behbudov,1,1,0,Qarlı,0,63
Babək,2,5,1,Dumanlı,1,50
Tbilisi,16,6,1,Yağışlı,1,66
Tbilisi,16,3,0,Yağışlı,1,91
Atatürk,21,0,0,Açıq,0,26
Heydər Əliyev,21,4,0,Yağışlı,0,32
Atatürk,21,5,1,Dumanlı,1,51
Neftçilər,4,1,0,Qarlı,0,53
Rəşid Behbudov,6,4,0,Açıq,0,25
Heydər Əliyev,19,2,0,Dumanlı,1,100
Zərdabi,5,6,1,Yağışlı,0,43
Neftçilər,3,0,0,Dumanlı,0,37
İstiqlaliyyət,2,6,1,Yağışlı,0,44
Heydər Əliyev,16,0,0,Qarlı,0,74
Babək,6,0,0,Açıq,0,16
Neftçilər,16,1,0,Dumanlı,2,100
Babək,21,2,0,Dumanlı,1,54
Babək,5,3,0,Qarlı,0,55
Neftçilər,18,3,0,Yağışlı,0,97
Babək,10,4,0,Yağışlı,0,46
Babək,15,6,1,Açıq,0,36
Qara Qarayev,3,0,0,Qarlı,0,63
Qara Qarayev,5,4,0,Açıq,0,17
Qara Qarayev,1,3,0,Açıq,0,11
Heydər Əliyev,17,6,1,Yağışlı,0,49
Rəşid Behbudov,21,1,0,Yağışlı,0,46
Neftçilər,21,0,0,Açıq,0,21
Tbilisi,12,3,0,Açıq,0,37
Ziya Bünyadov,4,4,0,Qarlı,0,51
Rəşid Behbudov,21,4,0,Dumanlı,0,34
Qara Qarayev,5,4,0,Qarlı,1,70
Zərdabi,15,6,1,Qarlı,0,71
Tbilisi,21,0,0,Yağışlı,0,28
Babək,13,5,1,Açıq,0,35
Ziya Bünyadov,14,5,1,Açıq,0,48
Zərdabi,6,3,0,Açıq,0,26
Rəşid Behbudov,23,5,1,Dumanlı,0,27
Qara Qarayev,1,5,1,Yağışlı,1,67
Ziya Bünyadov,14,3,0,Açıq,0,50
Neftçilər,22,2,0,Açıq,0,22
Atatürk,2,3,0,Yağışlı,0,46
Atatürk,4,6,1,Yağışlı,1,61
Ziya Bünyadov,2,3,0,Dumanlı,0,37
İstiqlaliyyət,4,1,0,Qarlı,1,69
Tbilisi,4,0,0,Dumanlı,2,78
Qara Qarayev,14,5,1,Açıq,0,37
Qara Qarayev,4,4,0,Açıq,0,14
Ziya Bünyadov,12,1,0,Dumanlı,0,50
Atatürk,7,6,1,Dumanlı,0,46
Heydər Əliyev,13,4,0,Yağışlı,1,87
Heydər Əliyev,19,1,0,Açıq,0,72
Tbilisi,6,0,0,Yağışlı,1,58
Tbilisi,8,3,0,Dumanlı,2,100
Neftçilər,21,1,0,Yağışlı,0,29
Neftçilər,19,5,1,Dumanlı,0,47
İstiqlaliyyət,10,0,0,Dumanlı,1,71
Zərdabi,1,2,0,Açıq,0,18
İstiqlaliyyət,8,0,0,Dumanlı,0,76
Ziya Bünyadov,22,5,1,Açıq,0,32
Tbilisi,15,3,0,Açıq,0,38
Atatürk,2,4,0,Açıq,1,25
Neftçilər,22,2,0,Yağışlı,2,76
Heydər Əliyev,18,0,0,Yağışlı,0,80
Atatürk,21,6,1,Dumanlı,0,25
Tbilisi,5,0,0,Dumanlı,0,36
Zərdabi,0,2,0,Yağışlı,0,46
Zərdabi,15,1,0,Dumanlı,0,40
Atatürk,19,5,1,Qarlı,1,77
İstiqlaliyyət,3,6,1,Açıq,1,41
Atatürk,12,6,1,Açıq,2,90
Rəşid Behbudov,9,0,0,Açıq,0,76
Neftçilər,0,1,0,Qarlı,1,63
Ziya Bünyadov,4,6,1,Dumanlı,0,46
Qara Qarayev,9,1,0,Açıq,0,62
Tbilisi,9,1,0,Yağışlı,0,92
Tbilisi,7,3,0,Açıq,1,100
Zərdabi,16,0,0,Qarlı,2,100
Zərdabi,14,0,0,Yağışlı,0,62
Rəşid Behbudov,0,5,1,Açıq,0,25
Neftçilər,14,0,0,Açıq,0,48
Heydər Əliyev,5,5,1,Yağışlı,0,52
Atatürk,23,1,0,Dumanlı,1,58
Atatürk,22,5,1,Yağışlı,0,50
Tbilisi,0,6,1,Yağışlı,0,40
Neftçilər,1,2,0,Qarlı,1,78
Babək,4,2,0,Dumanlı,0,30
Babək,2,3,0,Yağışlı,1,66
Zərdabi,9,6,1,Qarlı,0,69
İstiqlaliyyət,8,1,0,Açıq,0,73
Qara Qarayev,10,5,1,Açıq,0,41
Neftçilər,19,0,0,Yağışlı,0,87
İstiqlaliyyət,22,2,0,Qarlı,0,63
İstiqlaliyyət,4,3,0,Qarlı,0,55
Neftçilər,22,6,1,Dumanlı,0,42
Heydər Əliyev,10,0,0,Qarlı,0,48
Babək,16,2,0,Yağışlı,0,64
İstiqlaliyyət,10,2,0,Dumanlı,0,43
Atatürk,11,1,0,Qarlı,0,70
Zərdabi,6,2,0,Qarlı,0,53
Rəşid Behbudov,12,2,0,Dumanlı,0,44
Ziya Bünyadov,19,1,0,Qarlı,3,100
Tbilisi,23,6,1,Qarlı,0,67
Tbilisi,3,2,0,Qarlı,0,50
Tbilisi,16,1,0,Qarlı,0,71
İstiqlaliyyət,10,4,0,Yağışlı,0,51
Neftçilər,22,1,0,Açıq,1,43
Rəşid Behbudov,15,6,1,Yağışlı,1,79
Zərdabi,0,0,0,Yağışlı,0,52
Heydər Əliyev,12,2,0,Dumanlı,0,37
Atatürk,23,3,0,Dumanlı,0,35
İstiqlaliyyət,12,1,0,Dumanlı,0,53
Atatürk,11,1,0,Dumanlı,1,77
Heydər Əliyev,6,1,0,Qarlı,0,47
Zərdabi,8,2,0,Yağışlı,0,76
Zərdabi,8,1,0,Qarlı,0,96
Zərdabi,15,2,0,Qarlı,0,63
Rəşid Behbudov,14,3,0,Açıq,0,42
Heydər Əliyev,21,2,0,Açıq,0,25
Ziya Bünyadov,23,1,0,Açıq,0,23
İstiqlaliyyət,10,0,0,Dumanlı,2,100
Heydər Əliyev,12,2,0,Yağışlı,1,77
Neftçilər,14,4,0,Dumanlı,0,53
Rəşid Behbudov,5,2,0,Qarlı,0,55
Ziya Bünyadov,20,0,0,Yağışlı,0,100
Rəşid Behbudov,22,3,0,Yağışlı,0,37
Rəşid Behbudov,21,2,0,Qarlı,0,60
Ziya Bünyadov,0,2,0,Qarlı,0,65
Babək,14,0,0,Açıq,0,53
İstiqlaliyyət,5,5,1,Yağışlı,0,32
Zərdabi,17,6,1,Yağışlı,0,69
Zərdabi,0,5,1,Qarlı,1,62
Rəşid Behbudov,10,4,0,Qarlı,0,71
Rəşid Behbudov,8,3,0,Açıq,0,76
Babək,14,3,0,Yağışlı,0,68
İstiqlaliyyət,17,2,0,Qarlı,0,100
Zərdabi,16,3,0,Yağışlı,0,51
İstiqlaliyyət,5,4,0,Açıq,0,28
Qara Qarayev,8,4,0,Yağışlı,0,73
Qara Qarayev,4,6,1,Dumanlı,0,35
Heydər Əliyev,16,4,0,Qarlı,0,76
Heydər Əliyev,17,1,0,Qarlı,0,100
Zərdabi,5,1,0,Yağışlı,0,49
Ziya Bünyadov,2,1,0,Açıq,0,37
Heydər Əliyev,15,1,0,Dumanlı,0,59
Tbilisi,2,0,0,Açıq,0,20
Neftçilər,6,5,1,Yağışlı,0,36
Qara Qarayev,5,2,0,Açıq,0,27
Babək,12,3,0,Qarlı,0,75
Heydər Əliyev,7,2,0,Yağışlı,1,100
Babək,4,3,0,Dumanlı,0,41
Zərdabi,16,5,1,Qarlı,0,70
Babək,1,4,0,Açıq,0,23
Babək,6,3,0,Yağışlı,2,82
Atatürk,4,3,0,Açıq,0,16
Rəşid Behbudov,23,4,0,Dumanlı,0,39
Neftçilər,17,6,1,Yağışlı,1,83
Rəşid Behbudov,5,1,0,Dumanlı,1,63
Atatürk,8,4,0,Qarlı,0,96
Neftçilər,13,5,1,Yağışlı,1,88
Rəşid Behbudov,20,5,1,Açıq,0,32
Heydər Əliyev,5,3,0,Qarlı,0,45
Ziya Bünyadov,5,4,0,Dumanlı,0,33
Atatürk,19,3,0,Dumanlı,0,82
Heydər Əliyev,0,3,0,Yağışlı,1,54
Atatürk,2,2,0,Dumanlı,0,38
Neftçilər,11,1,0,Qarlı,0,70
Babək,18,5,1,Qarlı,1,72
Heydər Əliyev,14,4,0,Qarlı,0,75
Babək,5,6,1,Yağışlı,0,49
Babək,22,2,0,Açıq,1,38
Neftçilər,7,1,0,Yağışlı,0,78
Rəşid Behbudov,8,4,0,Yağışlı,2,100
İstiqlaliyyət,3,5,1,Yağışlı,1,69
Rəşid Behbudov,7,0,0,Yağışlı,1,100
Qara Qarayev,12,3,0,Yağışlı,0,50
Heydər Əliyev,21,0,0,Açıq,0,19
Qara Qarayev,23,4,0,Dumanlı,0,32
Atatürk,19,4,0,Dumanlı,0,75
Heydər Əliyev,23,1,0,Qarlı,0,40
Babək,5,1,0,Yağışlı,1,45
İstiqlaliyyət,4,0,0,Dumanlı,1,49
Heydər Əliyev,12,2,0,Qarlı,0,62
Rəşid Behbudov,14,5,1,Açıq,1,53
Qara Qarayev,11,5,1,Açıq,2,66
Tbilisi,21,3,0,Qarlı,0,52
Tbilisi,21,2,0,Yağışlı,1,63
Neftçilər,13,3,0,Açıq,3,86
Zərdabi,23,3,0,Yağışlı,1,62
Neftçilər,22,3,0,Yağışlı,1,45
Ziya Bünyadov,15,5,1,Açıq,0,60
Zərdabi,19,4,0,Dumanlı,0,90
Ziya Bünyadov,5,4,0,Qarlı,0,60
Tbilisi,7,6,1,Dumanlı,0,59
Heydər Əliyev,16,6,1,Açıq,0,23
Heydər Əliyev,11,3,0,Qarlı,2,100
Tbilisi,5,6,1,Yağışlı,1,51
Neftçilər,13,0,0,Dumanlı,0,66
Qara Qarayev,20,3,0,Açıq,0,60
Tbilisi,15,3,0,Qarlı,0,73
Rəşid Behbudov,6,4,0,Yağışlı,0,45
Ziya Bünyadov,7,4,0,Dumanlı,0,100
Neftçilər,15,1,0,Qarlı,0,72
Zərdabi,15,6,1,Qarlı,0,68
Ziya Bünyadov,20,1,0,Yağışlı,0,100
İstiqlaliyyət,16,1,0,Qarlı,1,76
Heydər Əliyev,4,2,0,Yağışlı,0,39
Babək,7,1,0,Dumanlı,0,92
Neftçilər,4,1,0,Yağışlı,0,30
Rəşid Behbudov,15,6,1,Yağışlı,1,77
Tbilisi,12,2,0,Qarlı,0,70
Zərdabi,16,4,0,Qarlı,0,73
Zərdabi,5,0,0,Dumanlı,2,92
İstiqlaliyyət,3,5,1,Qarlı,1,72
Babək,17,1,0,Yağışlı,0,83
İstiqlaliyyət,16,3,0,Yağışlı,0,49
Rəşid Behbudov,0,0,0,Qarlı,1,78
Babək,8,1,0,Açıq,0,68
Babək,13,3,0,Açıq,2,77
Ziya Bünyadov,13,5,1,Yağışlı,0,87
Tbilisi,9,6,1,Dumanlı,0,51
Tbilisi,5,3,0,Açıq,0,10
Ziya Bünyadov,2,0,0,Yağışlı,0,46
Babək,13,3,0,Dumanlı,0,44
Atatürk,17,2,0,Dumanlı,0,80
Neftçilər,16,3,0,Dumanlı,0,53
Babək,17,0,0,Qarlı,0,93
Heydər Əliyev,9,0,0,Yağışlı,0,85
Ziya Bünyadov,2,1,0,Açıq,0,24
Heydər Əliyev,23,1,0,Yağışlı,2,83
Rəşid Behbudov,8,2,0,Qarlı,0,100
Neftçilər,11,2,0,Açıq,0,40
Atatürk,19,2,0,Yağışlı,0,87
Babək,2,3,0,Qarlı,1,65
Tbilisi,10,6,1,Dumanlı,0,46
Atatürk,7,6,1,Dumanlı,0,51
Neftçilər,22,4,0,Yağışlı,0,48
Qara Qarayev,6,2,0,Dumanlı,0,40
Zərdabi,16,1,0,Qarlı,0,74
Ziya Bünyadov,13,0,0,Yağışlı,0,69
Rəşid Behbudov,3,6,1,Açıq,0,15
Babək,3,5,1,Dumanlı,0,33
İstiqlaliyyət,2,0,0,Dumanlı,0,37
Qara Qarayev,13,0,0,Dumanlı,2,95
Neftçilər,9,3,0,Açıq,1,88
Heydər Əliyev,13,6,1,Açıq,0,47
Atatürk,2,0,0,Dumanlı,0,40
Ziya Bünyadov,21,4,0,Yağışlı,0,55
Atatürk,13,2,0,Dumanlı,0,38
Qara Qarayev,21,2,0,Açıq,1,36
Zərdabi,4,6,1,Yağışlı,2,66
Heydər Əliyev,22,0,0,Yağışlı,1,66
Babək,12,0,0,Yağışlı,0,49
Zərdabi,12,2,0,Dumanlı,0,53
Ziya Bünyadov,18,2,0,Yağışlı,0,90
Heydər Əliyev,9,5,1,Qarlı,1,79
Neftçilər,1,2,0,Yağışlı,0,52
Neftçilər,6,0,0,Yağışlı,0,32
İstiqlaliyyət,18,4,0,Yağışlı,0,91
Ziya Bünyadov,14,3,0,Yağışlı,1,95
Atatürk,1,6,1,Dumanlı,1,44
Atatürk,21,2,0,Qarlı,0,55
Ziya Bünyadov,14,0,0,Qarlı,0,69
Ziya Bünyadov,6,5,1,Qarlı,0,67
Heydər Əliyev,7,4,0,Yağışlı,0,95
Zərdabi,13,5,1,Qarlı,1,76
Ziya Bünyadov,7,1,0,Açıq,0,81
Neftçilər,19,1,0,Açıq,0,78
Zərdabi,23,3,0,Qarlı,0,60
Heydər Əliyev,23,2,0,Açıq,0,27
Zərdabi,15,0,0,Yağışlı,3,100
Rəşid Behbudov,14,2,0,Yağışlı,0,52
Zərdabi,23,0,0,Açıq,0,30
Rəşid Behbudov,2,5,1,Açıq,0,25
Rəşid Behbudov,17,4,0,Qarlı,0,91
Babək,17,3,0,Yağışlı,0,85
İstiqlaliyyət,11,2,0,Qarlı,0,75
Qara Qarayev,22,6,1,Qarlı,0,62
Babək,13,6,1,Qarlı,0,63
Babək,7,3,0,Yağışlı,1,99
Atatürk,17,6,1,Açıq,1,70
Tbilisi,0,5,1,Açıq,1,39
Tbilisi,18,1,0,Qarlı,0,96
Tbilisi,0,5,1,Yağışlı,0,39
Babək,0,1,0,Yağışlı,1,72
Qara Qarayev,16,1,0,Qarlı,0,79
İstiqlaliyyət,19,4,0,Dumanlı,0,92
Babək,23,3,0,Yağışlı,0,44
Atatürk,9,4,0,Yağışlı,0,71
İstiqlaliyyət,18,2,0,Açıq,1,87
Atatürk,9,3,0,Yağışlı,0,94
Rəşid Behbudov,21,0,0,Açıq,0,23
Ziya Bünyadov,9,5,1,Açıq,0,50
Atatürk,20,2,0,Yağışlı,0,85
Neftçilər,0,1,0,Dumanlı,0,21
Atatürk,1,6,1,Dumanlı,0,33
Heydər Əliyev,2,6,1,Açıq,0,10
Heydər Əliyev,22,5,1,Dumanlı,0,31
Neftçilər,6,2,0,Qarlı,0,53
Zərdabi,11,0,0,Qarlı,0,85
Heydər Əliyev,15,0,0,Dumanlı,0,54
Tbilisi,21,2,0,Yağışlı,0,41
Heydər Əliyev,2,3,0,Qarlı,0,59
Zərdabi,21,0,0,Qarlı,1,78
Neftçilər,19,5,1,Yağışlı,1,58
Tbilisi,8,6,1,Qarlı,0,68
Ziya Bünyadov,9,3,0,Açıq,1,100
Tbilisi,10,6,1,Qarlı,0,81
Tbilisi,15,4,0,Açıq,0,56
Heydər Əliyev,19,6,1,Açıq,1,61
Heydər Əliyev,15,2,0,Yağışlı,0,61
Rəşid Behbudov,4,0,0,Yağışlı,0,35
Neftçilər,0,0,0,Açıq,0,17
Rəşid Behbudov,22,4,0,Açıq,1,44
Neftçilər,1,4,0,Dumanlı,0,24
Rəşid Behbudov,7,3,0,Dumanlı,2,100
Rəşid Behbudov,0,1,0,Açıq,0,22
Zərdabi,11,4,0,Dumanlı,0,52
Qara Qarayev,1,1,0,Dumanlı,0,29
Ziya Bünyadov,7,1,0,Qarlı,1,100
Zərdabi,1,0,0,Qarlı,0,51
Zərdabi,9,2,0,Dumanlı,0,81
Atatürk,16,3,0,Dumanlı,0,51
Neftçilər,8,6,1,Dumanlı,0,48
Zərdabi,11,1,0,Qarlı,0,81
Zərdabi,3,6,1,Açıq,0,10
Tbilisi,14,6,1,Qarlı,0,84
Babək,16,3,0,Qarlı,0,57
Tbilisi,2,3,0,Dumanlı,0,43
Neftçilər,19,1,0,Qarlı,0,100
Ziya Bünyadov,5,1,0,Yağışlı,0,51
Zərdabi,1,3,0,Açıq,0,22
Neftçilər,21,4,0,Açıq,0,24
Rəşid Behbudov,8,5,1,Dumanlı,0,57
Zərdabi,11,5,1,Dumanlı,0,39
Qara Qarayev,6,0,0,Açıq,0,24
Tbilisi,23,6,1,Açıq,2,57
Atatürk,18,6,1,Açıq,0,22
Babək,10,6,1,Dumanlı,0,64
İstiqlaliyyət,12,3,0,Qarlı,0,76
Neftçilər,9,2,0,Qarlı,0,95
Atatürk,8,2,0,Qarlı,1,100
Zərdabi,7,1,0,Dumanlı,0,81
Qara Qarayev,7,0,0,Açıq,0,53
Neftçilər,18,5,1,Açıq,0,32
Atatürk,4,5,1,Yağışlı,0,48
Tbilisi,17,5,1,Açıq,0,46
Tbilisi,17,0,0,Dumanlı,1,95
Babək,4,1,0,Qarlı,0,52
Rəşid Behbudov,8,1,0,Yağışlı,0,97
Rəşid Behbudov,13,2,0,Açıq,0,42
Tbilisi,19,3,0,Yağışlı,1,100
Qara Qarayev,13,2,0,Açıq,1,71
Tbilisi,4,1,0,Açıq,0,16
Tbilisi,17,2,0,Yağışlı,1,100
İstiqlaliyyət,22,3,0,Qarlı,1,73
Heydər Əliyev,5,4,0,Açıq,1,41
İstiqlaliyyət,1,6,1,Açıq,0,27
Zərdabi,4,3,0,Qarlı,0,43
Qara Qarayev,15,5,1,Qarlı,1,100
İstiqlaliyyət,9,4,0,Açıq,0,71
İstiqlaliyyət,18,4,0,Yağışlı,0,92
Qara Qarayev,8,3,0,Qarlı,1,100
Neftçilər,10,5,1,Açıq,0,40
Qara Qarayev,19,1,0,Açıq,0,71
Neftçilər,5,0,0,Yağışlı,2,99
Rəşid Behbudov,21,3,0,Qarlı,0,43
Zərdabi,14,5,1,Qarlı,0,66
İstiqlaliyyət,7,1,0,Qarlı,0,100
Ziya Bünyadov,12,3,0,Yağışlı,0,85
Neftçilər,6,5,1,Yağışlı,0,34
Atatürk,23,1,0,Yağışlı,0,40
Neftçilər,17,2,0,Dumanlı,0,68
Qara Qarayev,0,4,0,Yağışlı,0,39
Atatürk,20,1,0,Dumanlı,0,100
Zərdabi,21,5,1,Qarlı,2,96
İstiqlaliyyət,14,0,0,Açıq,0,23
İstiqlaliyyət,4,1,0,Qarlı,0,41
Rəşid Behbudov,15,0,0,Yağışlı,1,78
Ziya Bünyadov,3,3,0,Yağışlı,0,49
Qara Qarayev,6,0,0,Dumanlı,0,30
Rəşid Behbudov,19,2,0,Dumanlı,0,84
Tbilisi,18,1,0,Yağışlı,1,95
Atatürk,3,1,0,Dumanlı,0,36
Heydər Əliyev,3,0,0,Dumanlı,0,28
Neftçilər,3,3,0,Dumanlı,0,32
İstiqlaliyyət,3,2,0,Açıq,0,10
İstiqlaliyyət,2,5,1,Yağışlı,0,52
Neftçilər,22,6,1,Qarlı,0,51
Tbilisi,14,5,1,Qarlı,2,100
Qara Qarayev,3,6,1,Açıq,0,15
Atatürk,10,1,0,Dumanlı,0,51
Ziya Bünyadov,18,3,0,Açıq,0,89
Qara Qarayev,19,0,0,Açıq,1,88
Heydər Əliyev,10,1,0,Açıq,0,43
Ziya Bünyadov,7,1,0,Dumanlı,0,92
Heydər Əliyev,0,1,0,Dumanlı,0,23
İstiqlaliyyət,20,2,0,Dumanlı,0,81
Rəşid Behbudov,1,5,1,Qarlı,0,46
Qara Qarayev,17,1,0,Qarlı,0,100
Rəşid Behbudov,14,3,0,Açıq,1,59
Atatürk,9,6,1,Yağışlı,1,77
Tbilisi,15,1,0,Açıq,1,42
Atatürk,12,4,0,Açıq,1,62
Atatürk,18,2,0,Qarlı,0,100
Heydər Əliyev,2,4,0,Qarlı,0,55
Rəşid Behbudov,18,6,1,Qarlı,0,72
Rəşid Behbudov,12,0,0,Açıq,1,76
Ziya Bünyadov,8,1,0,Açıq,3,100
Zərdabi,10,2,0,Açıq,0,56
Neftçilər,13,3,0,Qarlı,0,75
Heydər Əliyev,15,6,1,Yağışlı,0,52
Babək,7,2,0,Qarlı,0,100
Atatürk,3,0,0,Qarlı,0,58
Zərdabi,11,6,1,Yağışlı,0,59
Tbilisi,1,1,0,Açıq,0,11
Heydər Əliyev,21,2,0,Dumanlı,0,30
Rəşid Behbudov,4,1,0,Yağışlı,0,50
Babək,15,4,0,Qarlı,0,67
Zərdabi,18,1,0,Dumanlı,0,86
Babək,12,5,1,Açıq,0,39
Babək,4,1,0,Dumanlı,0,38
Atatürk,22,5,1,Açıq,2,48
Heydər Əliyev,3,4,0,Qarlı,0,45
Tbilisi,9,6,1,Yağışlı,0,37
Qara Qarayev,1,3,0,Açıq,0,20
Atatürk,9,4,0,Dumanlı,0,90
Atatürk,3,0,0,Qarlı,0,52
Atatürk,8,4,0,Qarlı,2,100
Rəşid Behbudov,11,5,1,Açıq,0,47
Ziya Bünyadov,20,2,0,Qarlı,0,94
Neftçilər,8,3,0,Dumanlı,0,85
Atatürk,21,3,0,Açıq,0,11
Tbilisi,14,4,0,Yağışlı,0,60
Neftçilər,2,4,0,Açıq,1,50
Zərdabi,0,6,1,Yağışlı,1,60
Tbilisi,18,4,0,Açıq,0,69
Zərdabi,10,6,1,Dumanlı,0,59
Tbilisi,23,1,0,Qarlı,0,52
Atatürk,6,5,1,Qarlı,0,50
Ziya Bünyadov,20,0,0,Açıq,0,78
Zərdabi,3,5,1,Açıq,1,34
Atatürk,10,0,0,Yağışlı,0,73
Zərdabi,13,4,0,Yağışlı,0,49
Atatürk,12,2,0,Açıq,0,32
Atatürk,16,4,0,Açıq,0,44
Heydər Əliyev,13,5,1,Yağışlı,0,62
Rəşid Behbudov,23,2,0,Yağışlı,1,63
İstiqlaliyyət,15,2,0,Qarlı,0,82
Rəşid Behbudov,4,1,0,Dumanlı,0,23
Neftçilər,12,4,0,Açıq,0,39
Heydər Əliyev,2,4,0,Yağışlı,0,52
Heydər Əliyev,22,3,0,Dumanlı,0,43
Zərdabi,6,1,0,Dumanlı,0,28
Atatürk,7,4,0,Açıq,2,100
Qara Qarayev,5,5,1,Açıq,1,44
Atatürk,22,1,0,Yağışlı,2,76
Zərdabi,22,1,0,Açıq,1,34
Heydər Əliyev,1,2,0,Dumanlı,0,28
Zərdabi,1,2,0,Dumanlı,0,40
Babək,15,6,1,Dumanlı,0,53
Rəşid Behbudov,21,2,0,Dumanlı,0,27
Rəşid Behbudov,14,1,0,Dumanlı,0,54
Ziya Bünyadov,1,1,0,Açıq,0,25
Qara Qarayev,19,0,0,Yağışlı,0,100
Tbilisi,2,4,0,Dumanlı,0,24
Neftçilər,14,3,0,Dumanlı,0,52
Zərdabi,1,3,0,Yağışlı,0,49
Ziya Bünyadov,0,6,1,Açıq,0,38
Heydər Əliyev,13,2,0,Qarlı,1,100
Rəşid Behbudov,4,1,0,Dumanlı,0,28
Heydər Əliyev,17,0,0,Qarlı,0,89
Babək,22,6,1,Yağışlı,0,34
Rəşid Behbudov,19,5,1,Yağışlı,0,58
Rəşid Behbudov,18,3,0,Qarlı,0,87
Rəşid Behbudov,19,4,0,Qarlı,0,95
Atatürk,3,2,0,Qarlı,1,64
Ziya Bünyadov,9,1,0,Yağışlı,1,100
İstiqlaliyyət,17,6,1,Açıq,0,26
Atatürk,10,3,0,Açıq,0,31
Atatürk,16,1,0,Açıq,0,37
Heydər Əliyev,20,2,0,Açıq,0,83
Rəşid Behbudov,16,2,0,Açıq,0,52
Atatürk,15,0,0,Yağışlı,0,64
Rəşid Behbudov,1,3,0,Açıq,0,16
Babək,16,6,1,Yağışlı,0,55
Tbilisi,10,4,0,Qarlı,0,83
İstiqlaliyyət,20,4,0,Dumanlı,0,78
Heydər Əliyev,15,4,0,Açıq,0,44
Neftçilər,4,4,0,Qarlı,1,78
Zərdabi,3,1,0,Qarlı,0,60
Babək,17,1,0,Açıq,0,78
Tbilisi,7,0,0,Açıq,2,100
Zərdabi,12,1,0,Yağışlı,0,74
Tbilisi,1,4,0,Açıq,1,34
Tbilisi,12,3,0,Qarlı,0,88
Atatürk,9,2,0,Dumanlı,0,96
Ziya Bünyadov,6,2,0,Açıq,0,39
Heydər Əliyev,7,6,1,Dumanlı,0,34
Zərdabi,2,5,1,Açıq,0,17
Heydər Əliyev,21,2,0,Qarlı,0,43
İstiqlaliyyət,11,4,0,Yağışlı,0,66
Atatürk,23,2,0,Qarlı,1,71
Neftçilər,11,2,0,Açıq,0,32
Atatürk,7,4,0,Açıq,0,70
Atatürk,13,4,0,Yağışlı,0,61
Tbilisi,17,2,0,Qarlı,1,100
Rəşid Behbudov,23,2,0,Açıq,1,40
Neftçilər,19,4,0,Açıq,1,87
Qara Qarayev,6,2,0,Dumanlı,0,40
Rəşid Behbudov,11,0,0,Qarlı,0,74
Tbilisi,5,6,1,Qarlı,0,59
Rəşid Behbudov,10,3,0,Açıq,0,33
Neftçilər,10,6,1,Dumanlı,1,72
Qara Qarayev,0,5,1,Qarlı,0,45
Zərdabi,22,4,0,Qarlı,0,47
İstiqlaliyyət,6,6,1,Dumanlı,1,48
Neftçilər,17,0,0,Açıq,0,72
Atatürk,6,4,0,Dumanlı,0,25
İstiqlaliyyət,11,5,1,Yağışlı,1,77
Rəşid Behbudov,12,3,0,Yağışlı,0,55
Ziya Bünyadov,2,3,0,Dumanlı,0,35
İstiqlaliyyət,20,1,0,Yağışlı,0,77
Heydər Əliyev,3,5,1,Dumanlı,1,54
Heydər Əliyev,3,5,1,Dumanlı,0,34
Qara Qarayev,0,2,0,Dumanlı,0,30
İstiqlaliyyət,22,0,0,Yağışlı,0,27
Ziya Bünyadov,21,2,0,Yağışlı,0,61
İstiqlaliyyət,23,5,1,Qarlı,0,51
Neftçilər,16,1,0,Yağışlı,0,76
Tbilisi,0,0,0,Dumanlı,0,31
Zərdabi,3,6,1,Dumanlı,0,45
Atatürk,4,5,1,Açıq,0,23
Atatürk,6,6,1,Açıq,0,28
Heydər Əliyev,7,1,0,Dumanlı,0,84
Heydər Əliyev,4,0,0,Qarlı,2,100
Neftçilər,10,5,1,Yağışlı,1,62
Tbilisi,19,6,1,Açıq,0,37
Qara Qarayev,22,1,0,Dumanlı,0,26
Neftçilər,1,6,1,Yağışlı,0,53
Atatürk,1,6,1,Açıq,0,27
Rəşid Behbudov,13,6,1,Dumanlı,1,73
Heydər Əliyev,13,5,1,Yağışlı,0,41
Tbilisi,23,2,0,Dumanlı,0,44
Heydər Əliyev,20,5,1,Dumanlı,0,46
Rəşid Behbudov,0,1,0,Dumanlı,1,62
Babək,1,1,0,Açıq,0,26
İstiqlaliyyət,23,6,1,Dumanlı,0,29
Rəşid Behbudov,5,0,0,Qarlı,0,67
Atatürk,10,4,0,Yağışlı,0,63
Atatürk,12,4,0,Qarlı,2,100
Heydər Əliyev,11,3,0,Yağışlı,1,79
Qara Qarayev,6,6,1,Yağışlı,1,64
Atatürk,11,1,0,Açıq,1,59
İstiqlaliyyət,21,5,1,Açıq,0,22
Babək,11,6,1,Dumanlı,0,43
Ziya Bünyadov,11,6,1,Dumanlı,0,54
Neftçilər,14,0,0,Dumanlı,1,66
Tbilisi,19,5,1,Qarlı,1,86
Atatürk,7,3,0,Dumanlı,0,94
